TransactionType,TransactionID,TransactionDate,CustomerID,ProductOrService,Category,Revenue,Cost,Margin,Channel,PaymentMethod,EmployeeID,Status,Notes
Repair,RT900197,2024-04-08,10567,OnePlus Nord 2 - Battery Drain,Repairs,105.15,33.95,71.2,Walk-in,Bizum,E06,Completed,Battery Drain
Sale,SO700245,2024-04-09,10540,P006; P004,Sales,1169.1,910.0,259.1,Website,Card,E09,Completed,Phone sales order
Sale,SO700246,2024-04-09,10735,P022,Sales,23.65,1.5,22.15,In-Store,Bank Transfer,E08,Completed,Phone sales order
Sale,SO700247,2024-04-09,10644,P005,Sales,1358.3,1220.0,138.3,WhatsApp,Cash,E01,Completed,Phone sales order
Sale,SO700248,2024-04-09,10678,P023; P024,Sales,75.81,9.2,66.61,WhatsApp,Bank Transfer,E08,Completed,Phone sales order
Repair,RT900198,2024-04-09,10339,Huawei P50 - Battery Drain,Repairs,110.15,35.7,74.45,Walk-in,Card,E05,Completed,Battery Drain
Sale,SO700249,2024-04-10,10003,P004; P001,Sales,2453.05,1880.0,573.05,In-Store,Cash,E01,Completed,Phone sales order
Sale,SO700250,2024-04-10,10278,P006; P022,Sales,255.51,191.5,64.01,Phone,PayPal,E12,Completed,Phone sales order
Sale,SO700251,2024-04-11,10549,P022,Sales,24.9,1.5,23.4,In-Store,PayPal,E12,Completed,Phone sales order
Sale,SO700252,2024-04-11,10425,P020,Sales,11.9,2.8,9.1,In-Store,Cash,E03,Completed,Phone sales order
Sale,SO700253,2024-04-11,10755,P017; P023,Sales,49.6,7.2,42.4,In-Store,Bizum,E09,Completed,Phone sales order
Repair,RT900199,2024-04-11,10387,Xiaomi Xiaomi 13T - Screen Crack,Repairs,242.45,84.7,157.75,Walk-in,Cash,E04,Completed,Screen Crack
Repair,RT900200,2024-04-11,10274,Apple iPhone 11 - Camera Failure,Repairs,121.75,40.2,81.55,Phone,PayPal,E11,In Progress,Camera Failure
Sale,SO700254,2024-04-12,10717,P023; P024,Sales,70.83,9.2,61.63,WhatsApp,Card,E02,Completed,Phone sales order
Sale,SO700255,2024-04-12,10692,P023,Sales,19.9,1.2,18.7,Phone,Cash,E03,Completed,Phone sales order
Sale,SO700256,2024-04-12,10458,P024; P020,Sales,79.51,13.6,65.91,In-Store,Bizum,E03,Completed,Phone sales order
Repair,RT900201,2024-04-12,10800,Samsung Galaxy S22 - Back Glass Damage,Repairs,118.95,38.45,80.5,Walk-in,Bank Transfer,E06,Completed,Back Glass Damage
Repair,RT900202,2024-04-12,10009,OnePlus Nord 3 - Charging Problem,Repairs,88.55,27.7,60.85,WhatsApp,Cash,E05,Completed,Charging Problem
Sale,SO700257,2024-04-13,10581,P009; P011,Sales,616.91,426.2,190.71,In-Store,Card,E02,Completed,Phone sales order
Sale,SO700258,2024-04-13,10029,P013,Sales,24.9,8.4,16.5,In-Store,Bizum,E02,Completed,Phone sales order
Repair,RT900203,2024-04-13,10434,Google Pixel 7 - Back Glass Damage,Repairs,118.95,38.45,80.5,Walk-in,Card,E05,Completed,Back Glass Damage
Repair,RT900204,2024-04-13,10263,Huawei P30 - No Power,Repairs,168.2,57.2,111.0,Phone,Card,E04,Completed,No Power
Repair,RT900205,2024-04-13,10465,Google Pixel 7 - Battery Drain,Repairs,135.15,44.45,90.7,Walk-in,PayPal,E11,Completed,Battery Drain
Repair,RT900206,2024-04-13,10608,Google Pixel 8a - Water Damage,Repairs,117.6,37.95,79.65,WhatsApp,Bizum,E06,Completed,Water Damage
Sale,SO700259,2024-04-14,10081,P001,Sales,849.15,760.0,89.15,In-Store,Card,E08,Completed,Phone sales order
Repair,RT900207,2024-04-14,10248,Huawei P40 - No Power,Repairs,163.2,55.45,107.75,Walk-in,Cash,E04,Completed,No Power
Repair,RT900208,2024-04-14,10697,Xiaomi Poco X5 - Charging Problem,Repairs,103.55,32.95,70.6,Walk-in,Cash,E06,Completed,Charging Problem
Repair,RT900209,2024-04-14,10407,Oppo Find X5 - Speaker Issue,Repairs,113.55,36.45,77.1,Walk-in,Card,E06,Completed,Speaker Issue
Repair,RT900210,2024-04-14,10653,Huawei P50 - Charging Problem,Repairs,78.55,24.2,54.35,WhatsApp,Card,E04,Completed,Charging Problem
Repair,RT900211,2024-04-14,10107,Samsung Galaxy A34 - Screen Crack,Repairs,242.45,84.7,157.75,Walk-in,Cash,E06,Completed,Screen Crack
Sale,SO700260,2024-04-15,10064,P019; P024; P002,Sales,889.37,669.5,219.87,WhatsApp,Bizum,E08,Completed,Phone sales order
Sale,SO700261,2024-04-15,10473,P022; P001; P024,Sales,1083.8,769.5,314.3,In-Store,Cash,E01,Completed,Phone sales order
Sale,SO700262,2024-04-15,10306,P018; P024; P024,Sales,130.81,21.0,109.81,In-Store,Card,E03,Completed,Phone sales order
Sale,SO700263,2024-04-16,10189,P024,Sales,53.91,8.0,45.91,WhatsApp,Card,E08,Completed,Phone sales order
Sale,SO700264,2024-04-17,10340,P023,Sales,19.9,1.2,18.7,In-Store,Cash,E02,Completed,Phone sales order
Sale,SO700265,2024-04-17,10031,P011; P023,Sales,53.73,13.6,40.13,In-Store,Cash,E08,Completed,Phone sales order
Sale,SO700266,2024-04-17,10721,P013,Sales,22.41,8.4,14.01,Website,Cash,E08,Completed,Phone sales order
Sale,SO700267,2024-04-17,10546,P009,Sales,599.0,420.0,179.0,Website,Cash,E03,Completed,Phone sales order
Repair,RT900212,2024-04-17,10503,Xiaomi Redmi Note 13 - Charging Problem,Repairs,83.55,25.95,57.6,Walk-in,Card,E05,Completed,Charging Problem
Repair,RT900213,2024-04-17,10704,Google Pixel 7 - Battery Drain,Repairs,135.15,44.45,90.7,Phone,Card,E06,Completed,Battery Drain
Repair,RT900214,2024-04-18,10647,Oppo A78 - Screen Crack,Repairs,237.45,82.95,154.5,Walk-in,Bizum,E06,Completed,Screen Crack
Repair,RT900215,2024-04-18,10233,Samsung Galaxy S23 - Battery Drain,Repairs,125.15,40.95,84.2,Phone,Bizum,E05,Completed,Battery Drain
Sale,SO700268,2024-04-19,10114,P009,Sales,539.1,420.0,119.1,In-Store,PayPal,E12,Completed,Phone sales order
Sale,SO700269,2024-04-19,10338,P020; P013; P012,Sales,49.26,14.3,34.96,In-Store,Bank Transfer,E08,Completed,Phone sales order
Sale,SO700270,2024-04-19,10311,P020; P023,Sales,31.2,4.0,27.2,In-Store,Bank Transfer,E03,Completed,Phone sales order
Repair,RT900216,2024-04-19,10703,Apple iPhone 15 - Charging Problem,Repairs,88.55,27.7,60.85,Walk-in,Card,E05,Completed,Charging Problem
Repair,RT900217,2024-04-19,10099,Xiaomi Redmi Note 13 - Charging Problem,Repairs,88.55,27.7,60.85,Website,Bank Transfer,E11,Completed,Charging Problem
Sale,SO700271,2024-04-20,10542,P014,Sales,12.9,3.7,9.2,Phone,Card,E02,Completed,Phone sales order
Sale,SO700272,2024-04-20,10223,P010; P001,Sales,1997.1,1530.0,467.1,WhatsApp,Bizum,E02,Completed,Phone sales order
Sale,SO700273,2024-04-20,10100,P013,Sales,24.9,8.4,16.5,Phone,Bank Transfer,E12,Completed,Phone sales order
Sale,SO700274,2024-04-20,10499,P012,Sales,14.9,3.1,11.8,WhatsApp,Cash,E03,Completed,Phone sales order
Sale,SO700275,2024-04-20,10637,P009,Sales,599.0,420.0,179.0,In-Store,Bank Transfer,E09,Completed,Phone sales order
Sale,SO700276,2024-04-20,10099,P020; P005; P014,Sales,823.2,616.5,206.7,In-Store,Card,E02,Completed,Phone sales order
Repair,RT900218,2024-04-20,10615,Oppo Reno 10 - Screen Crack,Repairs,247.45,86.45,161.0,Walk-in,Cash,E06,Completed,Screen Crack
Sale,SO700277,2024-04-21,10146,P023; P012,Sales,34.05,4.3,29.75,In-Store,Bank Transfer,E02,Completed,Phone sales order
Sale,SO700278,2024-04-21,10710,P004,Sales,479.0,360.0,119.0,In-Store,Bank Transfer,E12,Completed,Phone sales order
Sale,SO700279,2024-04-21,10311,P012; P023; P003,Sales,1832.05,1384.3,447.75,In-Store,Bank Transfer,E08,Completed,Phone sales order
Repair,RT900219,2024-04-21,10604,Xiaomi Redmi Note 13 - Back Glass Damage,Repairs,98.95,31.45,67.5,Walk-in,Bizum,E04,Completed,Back Glass Damage
Repair,RT900220,2024-04-21,10100,Samsung Galaxy S24 - Screen Crack,Repairs,242.45,84.7,157.75,Walk-in,Bizum,E05,Completed,Screen Crack
Repair,RT900221,2024-04-21,10423,Huawei P50 - Camera Failure,Repairs,156.75,52.45,104.3,Walk-in,Bizum,E11,Completed,Camera Failure
Sale,SO700280,2024-04-22,10737,P011,Sales,16.92,6.2,10.72,Website,Card,E08,Completed,Phone sales order
Sale,SO700281,2024-04-22,10053,P012; P016,Sales,44.8,16.1,28.7,Phone,Bank Transfer,E01,Completed,Phone sales order
Sale,SO700282,2024-04-23,10145,P020; P023; P019,Sales,111.32,39.8,71.52,WhatsApp,Bizum,E12,Completed,Phone sales order
Repair,RT900222,2024-04-23,10683,Google Pixel 8 - Battery Drain,Repairs,105.15,33.95,71.2,Walk-in,Card,E11,Completed,Battery Drain
Repair,RT900223,2024-04-23,10533,Google Pixel 7 - Water Damage,Repairs,87.6,27.45,60.15,Walk-in,Cash,E05,Waiting Parts,Water Damage
Sale,SO700283,2024-04-25,10719,P023,Sales,17.91,1.2,16.71,Marketplace,Bank Transfer,E09,Completed,Phone sales order
Sale,SO700284,2024-04-25,10735,P018,Sales,45.65,15.0,30.65,In-Store,Card,E01,Completed,Phone sales order
Sale,SO700285,2024-04-25,10474,P001,Sales,849.15,760.0,89.15,WhatsApp,Bank Transfer,E02,Completed,Phone sales order
Repair,RT900224,2024-04-25,10635,Samsung Galaxy S24 - Battery Drain,Repairs,125.15,40.95,84.2,Walk-in,Cash,E06,Completed,Battery Drain
Sale,SO700286,2024-04-26,10468,P012; P019,Sales,83.95,36.1,47.85,In-Store,PayPal,E02,Completed,Phone sales order
Sale,SO700287,2024-04-26,10275,P001,Sales,949.05,760.0,189.05,In-Store,Cash,E09,Completed,Phone sales order
Repair,RT900225,2024-04-26,10458,Google Pixel 8a - Camera Failure,Repairs,126.75,41.95,84.8,Walk-in,Bank Transfer,E06,Completed,Camera Failure
Repair,RT900226,2024-04-26,10100,Xiaomi Xiaomi 13T - Back Glass Damage,Repairs,83.95,26.2,57.75,Walk-in,Bank Transfer,E11,Completed,Back Glass Damage
Repair,RT900227,2024-04-26,10150,Huawei P30 - Battery Drain,Repairs,105.15,33.95,71.2,Walk-in,Bizum,E06,Completed,Battery Drain
Sale,SO700288,2024-04-27,10483,P017,Sales,9.4,2.0,7.4,WhatsApp,Cash,E03,Completed,Phone sales order
Sale,SO700289,2024-04-27,10416,P023,Sales,18.91,1.2,17.71,Website,Cash,E03,Completed,Phone sales order
Sale,SO700290,2024-04-27,10350,P009; P002,Sales,2836.1,2130.0,706.1,In-Store,Cash,E08,Completed,Phone sales order
Repair,RT900228,2024-04-27,10350,Huawei P40 - Back Glass Damage,Repairs,98.95,31.45,67.5,Website,Card,E04,Completed,Back Glass Damage
Repair,RT900229,2024-04-27,10544,Google Pixel 7 - Charging Problem,Repairs,88.55,27.7,60.85,Walk-in,Card,E11,Completed,Charging Problem
Sale,SO700291,2024-04-28,10412,P004,Sales,479.0,360.0,119.0,In-Store,Cash,E12,Completed,Phone sales order
Sale,SO700292,2024-04-28,10263,P022,Sales,23.65,1.5,22.15,In-Store,Card,E03,Completed,Phone sales order
Repair,RT900230,2024-04-28,10439,Oppo Find X5 - Speaker Issue,Repairs,113.55,36.45,77.1,Phone,Bizum,E04,Completed,Speaker Issue
Repair,RT900231,2024-04-28,10722,Oppo Find X5 - Charging Problem,Repairs,78.55,24.2,54.35,WhatsApp,Bizum,E11,Completed,Charging Problem
Repair,RT900232,2024-04-28,10339,Oppo Reno 10 - Battery Drain,Repairs,110.15,35.7,74.45,Walk-in,Bizum,E05,Completed,Battery Drain
Repair,RT900233,2024-04-28,10655,OnePlus Nord 2 - Speaker Issue,Repairs,93.55,29.45,64.1,Website,Bizum,E11,Completed,Speaker Issue
Repair,RT900234,2024-04-28,10132,OnePlus Nord 3 - Screen Crack,Repairs,267.45,93.45,174.0,Phone,Bizum,E04,Completed,Screen Crack
Repair,RT900235,2024-04-28,10631,Huawei P30 - Speaker Issue,Repairs,88.55,27.7,60.85,Phone,PayPal,E05,Completed,Speaker Issue
Sale,SO700293,2024-04-29,10532,P023; P006,Sales,253.0,191.2,61.8,In-Store,Card,E01,Completed,Phone sales order
Repair,RT900236,2024-04-29,10062,Huawei P50 - Screen Crack,Repairs,237.45,82.95,154.5,WhatsApp,Cash,E05,Completed,Screen Crack
Sale,SO700294,2024-04-30,10787,P018; P011; P023,Sales,52.83,12.4,40.43,Website,Bizum,E02,Completed,Phone sales order
Sale,SO700295,2024-04-30,10088,P022,Sales,22.41,1.5,20.91,In-Store,Cash,E01,Completed,Phone sales order
Sale,SO700296,2024-04-30,10710,P016,Sales,56.81,26.0,30.81,Phone,Card,E03,Completed,Phone sales order
Sale,SO700297,2024-04-30,10263,P014,Sales,36.76,11.1,25.66,In-Store,Card,E09,Completed,Phone sales order
Sale,SO700298,2024-04-30,10298,P007; P018,Sales,531.22,385.0,146.22,In-Store,Cash,E01,Completed,Phone sales order
Sale,SO700299,2024-04-30,10709,P009; P010; P010,Sales,1639.6,1190.0,449.6,Website,PayPal,E09,Completed,Phone sales order
Sale,SO700300,2024-04-30,10071,P023; P024; P005,Sales,837.86,619.2,218.66,Website,Card,E09,Completed,Phone sales order
Sale,SO700301,2024-04-30,10076,P005; P007,Sales,1218.1,985.0,233.1,In-Store,Card,E02,Completed,Phone sales order
Repair,RT900237,2024-04-30,10686,Apple iPhone SE - Camera Failure,Repairs,131.75,43.7,88.05,Walk-in,Bizum,E11,Completed,Camera Failure
Sale,SO700302,2024-05-01,10251,P001,Sales,899.1,760.0,139.1,Website,PayPal,E01,Completed,Phone sales order
Sale,SO700303,2024-05-01,10659,P024; P019,Sales,126.21,41.0,85.21,Website,Bank Transfer,E02,Completed,Phone sales order
Sale,SO700304,2024-05-01,10524,P019,Sales,104.7,49.5,55.2,Website,Card,E01,Completed,Phone sales order
Sale,SO700305,2024-05-02,10419,P010; P009,Sales,1587.2,1190.0,397.2,In-Store,Bank Transfer,E01,Completed,Phone sales order
Sale,SO700306,2024-05-02,10069,P019; P012,Sales,49.05,19.6,29.45,Website,Cash,E01,Completed,Phone sales order
Sale,SO700307,2024-05-02,10718,P009,Sales,599.0,420.0,179.0,WhatsApp,Cash,E03,Completed,Phone sales order
Repair,RT900238,2024-05-02,10507,Huawei P50 - Camera Failure,Repairs,156.75,52.45,104.3,Phone,Bank Transfer,E06,Completed,Camera Failure
Sale,SO700308,2024-05-03,10381,P023; P007,Sales,1016.91,751.2,265.71,Website,Card,E03,Completed,Phone sales order
Sale,SO700309,2024-05-03,10091,P003,Sales,854.05,690.0,164.05,WhatsApp,Bank Transfer,E09,Completed,Phone sales order
Sale,SO700310,2024-05-03,10562,P022; P023,Sales,40.82,2.7,38.12,Website,Bank Transfer,E08,Completed,Phone sales order
Sale,SO700311,2024-05-03,10177,P011,Sales,53.73,18.6,35.13,WhatsApp,Cash,E02,Completed,Phone sales order
Repair,RT900239,2024-05-03,10400,Oppo Reno 10 - Battery Drain,Repairs,115.15,37.45,77.7,Walk-in,Card,E04,In Progress,Battery Drain
Sale,SO700312,2024-05-04,10126,P001,Sales,999.0,760.0,239.0,Phone,Card,E12,Completed,Phone sales order
Sale,SO700313,2024-05-04,10415,P010,Sales,1098.0,770.0,328.0,In-Store,Card,E03,Completed,Phone sales order
Sale,SO700314,2024-05-04,10650,P005,Sales,679.15,610.0,69.15,In-Store,Cash,E09,Completed,Phone sales order
Sale,SO700315,2024-05-04,10276,P002,Sales,764.1,645.0,119.1,In-Store,PayPal,E03,Completed,Phone sales order
Sale,SO700316,2024-05-04,10522,P010; P008; P002,Sales,2663.65,2065.0,598.65,WhatsApp,Card,E01,Completed,Phone sales order
Sale,SO700317,2024-05-04,10187,P004; P003,Sales,1764.15,1410.0,354.15,WhatsApp,Cash,E02,Completed,Phone sales order
Repair,RT900240,2024-05-04,10513,Google Pixel 8 - Battery Drain,Repairs,110.15,35.7,74.45,Walk-in,Cash,E11,Completed,Battery Drain
Repair,RT900241,2024-05-04,10643,Oppo Reno 10 - Screen Crack,Repairs,237.45,82.95,154.5,Walk-in,Card,E04,Completed,Screen Crack
Repair,RT900242,2024-05-04,10622,Huawei P50 - No Power,Repairs,158.2,53.7,104.5,Walk-in,Card,E04,Completed,No Power
Sale,SO700318,2024-05-05,10172,P021; P002; P011,Sales,810.92,662.2,148.72,Phone,Cash,E03,Completed,Phone sales order
Sale,SO700319,2024-05-05,10224,P024; P007,Sales,509.0,383.0,126.0,WhatsApp,Card,E12,Completed,Phone sales order
Sale,SO700320,2024-05-05,10433,P008; P023,Sales,519.47,391.2,128.27,Website,Card,E03,Completed,Phone sales order
Sale,SO700321,2024-05-05,10088,P022; P004,Sales,478.7,361.5,117.2,In-Store,Cash,E08,Completed,Phone sales order
Sale,SO700322,2024-05-05,10540,P007,Sales,424.15,375.0,49.15,In-Store,Card,E12,Completed,Phone sales order
Sale,SO700323,2024-05-05,10451,P007,Sales,499.0,375.0,124.0,WhatsApp,Card,E02,Completed,Phone sales order
Repair,RT900243,2024-05-05,10704,Xiaomi Redmi Note 12 - Back Glass Damage,Repairs,98.95,31.45,67.5,Phone,Card,E04,Completed,Back Glass Damage
Repair,RT900244,2024-05-05,10426,Apple iPhone 11 - Charging Problem,Repairs,103.55,32.95,70.6,WhatsApp,Card,E11,Completed,Charging Problem
Repair,RT900245,2024-05-05,10293,Huawei P50 - Camera Failure,Repairs,131.75,43.7,88.05,Walk-in,Bizum,E04,Completed,Camera Failure
Sale,SO700324,2024-05-06,10553,P022,Sales,24.9,1.5,23.4,In-Store,Cash,E02,Completed,Phone sales order
Sale,SO700325,2024-05-07,10450,P011,Sales,19.9,6.2,13.7,Website,Cash,E08,Completed,Phone sales order
Sale,SO700326,2024-05-07,10268,P006; P019,Sales,277.46,206.5,70.96,WhatsApp,Bank Transfer,E02,Completed,Phone sales order
Sale,SO700327,2024-05-07,10698,P002,Sales,1613.1,1290.0,323.1,Website,Cash,E03,Completed,Phone sales order
Repair,RT900246,2024-05-07,10723,OnePlus Nord 2 - Charging Problem,Repairs,83.55,25.95,57.6,Walk-in,Cash,E04,Completed,Charging Problem
Repair,RT900247,2024-05-07,10304,Xiaomi Redmi Note 12 - Battery Drain,Repairs,100.15,32.2,67.95,Walk-in,Card,E06,Completed,Battery Drain
Sale,SO700328,2024-05-08,10314,P017; P023,Sales,37.71,5.2,32.51,Website,Card,E12,Completed,Phone sales order
Sale,SO700329,2024-05-08,10061,P006,Sales,207.2,190.0,17.2,Website,PayPal,E02,Completed,Phone sales order
Repair,RT900248,2024-05-08,10164,Samsung Galaxy S22 - No Power,Repairs,193.2,65.95,127.25,Phone,Bank Transfer,E06,Completed,No Power
Sale,SO700330,2024-05-09,10319,P023,Sales,18.91,1.2,17.71,In-Store,Card,E02,Completed,Phone sales order
Sale,SO700331,2024-05-09,10733,P009,Sales,1198.0,840.0,358.0,In-Store,Cash,E12,Completed,Phone sales order
Sale,SO700332,2024-05-09,10589,P010,Sales,1647.0,1155.0,492.0,In-Store,PayPal,E12,Completed,Phone sales order
Repair,RT900249,2024-05-09,10612,Apple iPhone 13 - Battery Drain,Repairs,141.35,46.95,94.4,Phone,Card,E04,Completed,Battery Drain
Repair,RT900250,2024-05-09,10159,Google Pixel 7 - Speaker Issue,Repairs,78.55,24.2,54.35,Walk-in,Bizum,E06,Completed,Speaker Issue
Repair,RT900251,2024-05-09,10397,Huawei P40 - Camera Failure,Repairs,121.75,40.2,81.55,Walk-in,Card,E06,Completed,Camera Failure
Sale,SO700333,2024-05-10,10312,P013,Sales,24.9,8.4,16.5,WhatsApp,Card,E01,Completed,Phone sales order
Sale,SO700334,2024-05-10,10764,P006; P006,Sales,673.4,570.0,103.4,In-Store,Bizum,E09,Completed,Phone sales order
Repair,RT900252,2024-05-10,10059,OnePlus Nord 4 - Battery Drain,Repairs,115.15,37.45,77.7,Walk-in,Cash,E06,Completed,Battery Drain
Repair,RT900253,2024-05-10,10412,Huawei P50 - No Power,Repairs,183.2,62.45,120.75,Walk-in,PayPal,E05,Completed,No Power
Repair,RT900254,2024-05-10,10675,Xiaomi Redmi Note 12 - Back Glass Damage,Repairs,88.95,27.95,61.0,Walk-in,Card,E04,Completed,Back Glass Damage
Repair,RT900255,2024-05-10,10062,Xiaomi Poco X5 - Speaker Issue,Repairs,83.55,25.95,57.6,Walk-in,Bizum,E06,Completed,Speaker Issue
Sale,SO700335,2024-05-11,10242,P023,Sales,19.9,1.2,18.7,WhatsApp,Cash,E03,Completed,Phone sales order
Sale,SO700336,2024-05-11,10057,P010,Sales,549.0,385.0,164.0,In-Store,Cash,E12,Completed,Phone sales order
Sale,SO700337,2024-05-11,10427,P020; P016; P020,Sales,107.4,37.2,70.2,WhatsApp,Cash,E03,Completed,Phone sales order
Sale,SO700338,2024-05-11,10553,P018; P024,Sales,113.6,23.0,90.6,Website,Bank Transfer,E01,Completed,Phone sales order
Sale,SO700339,2024-05-11,10009,P015; P023,Sales,58.81,19.2,39.61,In-Store,Cash,E09,Completed,Phone sales order
Repair,RT900256,2024-05-11,10669,Samsung Galaxy A55 - Screen Crack,Repairs,242.45,84.7,157.75,Walk-in,Bank Transfer,E05,Completed,Screen Crack
Repair,RT900257,2024-05-11,10432,OnePlus Nord 4 - Water Damage,Repairs,92.6,29.2,63.4,Walk-in,Card,E11,Completed,Water Damage
Repair,RT900258,2024-05-11,10599,Apple iPhone 15 - Charging Problem,Repairs,103.55,32.95,70.6,Walk-in,Cash,E11,Completed,Charging Problem
Repair,RT900259,2024-05-11,10215,OnePlus Nord 2 - Battery Drain,Repairs,135.15,44.45,90.7,Walk-in,Bank Transfer,E04,Completed,Battery Drain
Sale,SO700340,2024-05-12,10756,P015,Sales,35.91,18.0,17.91,In-Store,Cash,E02,Completed,Phone sales order
Sale,SO700341,2024-05-12,10750,P006,Sales,440.3,380.0,60.3,Website,Cash,E12,Completed,Phone sales order
Sale,SO700342,2024-05-12,10098,P004,Sales,479.0,360.0,119.0,In-Store,Bizum,E01,Completed,Phone sales order
Sale,SO700343,2024-05-12,10207,P001,Sales,1898.1,1520.0,378.1,Phone,Bank Transfer,E08,Completed,Phone sales order
Sale,SO700344,2024-05-12,10273,P017,Sales,18.81,4.0,14.81,Phone,Cash,E08,Completed,Phone sales order
Repair,RT900260,2024-05-12,10663,Xiaomi Redmi Note 12 - Battery Drain,Repairs,110.15,35.7,74.45,Walk-in,Card,E06,Completed,Battery Drain
Repair,RT900261,2024-05-12,10734,Google Pixel 7 - Water Damage,Repairs,97.6,30.95,66.65,WhatsApp,Bizum,E06,Completed,Water Damage
Repair,RT900262,2024-05-12,10700,Huawei P40 - Battery Drain,Repairs,135.15,44.45,90.7,Walk-in,Bizum,E04,Completed,Battery Drain
Sale,SO700345,2024-05-13,10736,P009,Sales,539.1,420.0,119.1,Website,Card,E01,Completed,Phone sales order
Sale,SO700346,2024-05-13,10226,P018,Sales,16.11,5.0,11.11,Website,Card,E12,Completed,Phone sales order
Repair,RT900263,2024-05-13,10233,Apple iPhone 13 - Screen Crack,Repairs,259.05,90.95,168.1,Walk-in,Card,E11,Completed,Screen Crack
Repair,RT900264,2024-05-13,10644,Huawei P30 - Battery Drain,Repairs,100.15,32.2,67.95,Phone,Bank Transfer,E04,Completed,Battery Drain
Sale,SO700347,2024-05-14,10392,P024; P021; P021,Sales,118.2,30.0,88.2,WhatsApp,PayPal,E01,Completed,Phone sales order
Repair,RT900265,2024-05-14,10783,Oppo Find X5 - Charging Problem,Repairs,113.55,36.45,77.1,Walk-in,Cash,E06,Completed,Charging Problem
Sale,SO700348,2024-05-15,10582,P006,Sales,233.1,190.0,43.1,Website,Card,E03,Completed,Phone sales order
Sale,SO700349,2024-05-15,10749,P008,Sales,502.55,390.0,112.55,Phone,Bank Transfer,E03,Completed,Phone sales order
Sale,SO700350,2024-05-15,10741,P024,Sales,53.91,8.0,45.91,In-Store,Cash,E01,Completed,Phone sales order
Sale,SO700351,2024-05-16,10410,P007,Sales,424.15,375.0,49.15,Marketplace,Card,E01,Completed,Phone sales order
Sale,SO700352,2024-05-16,10701,P005; P001; P007,Sales,2991.15,2355.0,636.15,In-Store,Cash,E01,Completed,Phone sales order
Sale,SO700353,2024-05-16,10483,P001,Sales,999.0,760.0,239.0,In-Store,Cash,E09,Completed,Phone sales order
Sale,SO700354,2024-05-16,10414,P006; P014,Sales,271.9,193.7,78.2,In-Store,Cash,E01,Completed,Phone sales order
Sale,SO700355,2024-05-16,10577,P010,Sales,549.0,385.0,164.0,In-Store,Cash,E08,Completed,Phone sales order
Repair,RT900266,2024-05-16,10778,Samsung Galaxy A34 - Charging Problem,Repairs,78.55,24.2,54.35,Walk-in,Card,E05,Completed,Charging Problem
Sale,SO700356,2024-05-17,10789,P010; P018,Sales,1060.1,775.0,285.1,In-Store,PayPal,E02,Completed,Phone sales order
Sale,SO700357,2024-05-17,10356,P013,Sales,23.65,8.4,15.25,WhatsApp,Bank Transfer,E08,Completed,Phone sales order
Sale,SO700358,2024-05-17,10243,P023; P015; P017,Sales,106.62,39.2,67.42,WhatsApp,Card,E02,Completed,Phone sales order
Sale,SO700359,2024-05-17,10144,P005,Sales,1598.0,1220.0,378.0,In-Store,Bank Transfer,E01,Completed,Phone sales order
Sale,SO700360,2024-05-17,10144,P015; P002,Sales,846.45,663.0,183.45,In-Store,Bizum,E09,Completed,Phone sales order
Repair,RT900267,2024-05-17,10388,OnePlus Nord 3 - Screen Crack,Repairs,242.45,84.7,157.75,Walk-in,Card,E06,Completed,Screen Crack
Sale,SO700361,2024-05-18,10558,P010; P009,Sales,2201.25,1645.0,556.25,Website,Cash,E09,Completed,Phone sales order
Sale,SO700362,2024-05-18,10388,P014,Sales,12.9,3.7,9.2,In-Store,PayPal,E01,Completed,Phone sales order
Sale,SO700363,2024-05-18,10170,P003,Sales,809.1,690.0,119.1,Marketplace,Card,E01,Completed,Phone sales order
Sale,SO700364,2024-05-18,10304,P009,Sales,1797.0,1260.0,537.0,In-Store,Card,E01,Completed,Phone sales order
Repair,RT900268,2024-05-18,10479,Samsung Galaxy S24 - Screen Crack,Repairs,242.45,84.7,157.75,Phone,PayPal,E06,Completed,Screen Crack
Repair,RT900269,2024-05-18,10160,OnePlus Nord 3 - Charging Problem,Repairs,93.55,29.45,64.1,WhatsApp,Card,E06,Waiting Parts,Charging Problem
Repair,RT900270,2024-05-18,10493,Huawei P30 - Charging Problem,Repairs,83.55,25.95,57.6,Walk-in,Cash,E11,Completed,Charging Problem
Repair,RT900271,2024-05-18,10324,Apple iPhone 14 - Battery Drain,Repairs,126.35,41.7,84.65,Walk-in,Bank Transfer,E06,Completed,Battery Drain
Repair,RT900272,2024-05-18,10258,Oppo A78 - Water Damage,Repairs,97.6,30.95,66.65,Walk-in,Card,E04,Completed,Water Damage
Sale,SO700365,2024-05-19,10263,P001,Sales,949.05,760.0,189.05,In-Store,Card,E12,Completed,Phone sales order
Sale,SO700366,2024-05-19,10624,P024; P024,Sales,107.82,16.0,91.82,Website,Bizum,E03,Completed,Phone sales order
Sale,SO700367,2024-05-19,10024,P003; P002,Sales,1570.7,1335.0,235.7,WhatsApp,Card,E02,Completed,Phone sales order
Sale,SO700368,2024-05-19,10710,P023,Sales,18.91,1.2,17.71,In-Store,Bank Transfer,E12,Completed,Phone sales order
Sale,SO700369,2024-05-19,10738,P008,Sales,529.0,390.0,139.0,In-Store,Bizum,E02,Completed,Phone sales order
